# <ProductString Version>;<NumericVersion>
OCS 9.0.0;90000
OCS 9.0.1;90001
OCS 9.0.2;90002
OCS 9.0.3;90003
OCS 9.0.4;90004
OCS 9.0.5;90005
OCS 9.0.6;90006
OCS 9.0.7;90007
OCS 9.0.8;90008
OCS 9.0.9;90009
OCS 9.0.10;90010
OCS 9.1.0;90100
